"","County","Year","Month","laborforce","emplab","unemp","unemprate"
"87","Alameda",2014,"Mar",810100,758200,51900,6.4
"88","Alameda",2014,"Apr",804600,760300,44300,5.5
"89","Alameda",2014,"May",808400,763500,44900,5.6
"90","Alameda",2014,"Jun",812600,765700,46800,5.8
"91","Alameda",2014,"Jul",819100,768000,51100,6.2
"92","Alameda",2014,"Aug",815900,766300,49500,6.1
"93","Alameda",2014,"Sep",814200,769600,44600,5.5
"94","Alameda",2014,"Oct",819300,774600,44700,5.5
"95","Alameda",2014,"Nov",820600,776700,44000,5.4
"96","Alameda",2014,"Dec",818100,778300,39800,4.9
"97","Alameda",2015,"Jan",819400,775600,43800,5.3
"98","Alameda",2015,"Feb",819800,778500,41300,5
"99","Alameda",2015,"Mar",821800,781200,40600,4.9
"100","Alameda",2015,"Apr",821300,783900,37400,4.6
"101","Alameda",2015,"May",825500,787400,38200,4.6
"102","Alameda",2015,"Jun",826100,786800,39300,4.8
"103","Alameda",2015,"Jul",830200,788100,42200,5.1
"104","Alameda",2015,"Aug",827400,787600,39800,4.8
"105","Alameda",2015,"Sep",822900,786800,36100,4.4
"106","Alameda",2015,"Oct",826700,788900,37800,4.6
"107","Alameda",2015,"Nov",827400,790000,37400,4.5
"108","Alameda",2015,"Dec",829100,793300,35800,4.3
"109","Alameda",2016,"Jan",825600,790000,35600,4.3
"110","Alameda",2016,"Feb",827600,792300,35200,4.3
"111","Alameda",2016,"Mar",826800,791400,35400,4.3
"112","Alameda",2016,"Apr",825200,791200,33900,4.1
"113","Alameda",2016,"May",823800,792500,31300,3.8
"114","Alameda",2016,"Jun",831900,793000,38900,4.7
"115","Alameda",2016,"Jul",845800,805000,40800,4.8
"116","Alameda",2016,"Aug",843300,804400,39000,4.6
"117","Alameda",2016,"Sep",844700,808200,36400,4.3
"118","Alameda",2016,"Oct",848700,811900,36700,4.3
"119","Alameda",2016,"Nov",842100,808600,33500,4
"120","Alameda",2016,"Dec",836100,804400,31700,3.8
"121","Alpine",2007,"Jan",660,630,30,4.8
"122","Alpine",2007,"Feb",630,600,30,4.5
"123","Alpine",2007,"Mar",570,550,30,4.4
"124","Alpine",2007,"Apr",450,420,30,5.8
"125","Alpine",2007,"May",410,360,40,10.8
"126","Alpine",2007,"Jun",430,380,50,10.5
"127","Alpine",2007,"Jul",450,410,50,10
"128","Alpine",2007,"Aug",470,420,50,11
"129","Alpine",2007,"Sep",450,410,50,10.6
"130","Alpine",2007,"Oct",450,400,40,9.8
"131","Alpine",2007,"Nov",460,420,40,9
"132","Alpine",2007,"Dec",510,470,40,7.1
"133","Alpine",2008,"Jan",630,590,40,6.8
"134","Alpine",2008,"Feb",620,590,40,5.9
"135","Alpine",2008,"Mar",560,530,30,6.1
"136","Alpine",2008,"Apr",460,420,40,8
"137","Alpine",2008,"May",420,350,60,15.3
"138","Alpine",2008,"Jun",430,370,50,12.7
"139","Alpine",2008,"Jul",420,370,50,11.4
"140","Alpine",2008,"Aug",420,380,50,11.1
"141","Alpine",2008,"Sep",430,370,50,12.7
"142","Alpine",2008,"Oct",400,350,40,11.1
"143","Alpine",2008,"Nov",400,340,60,15.2
"144","Alpine",2008,"Dec",410,350,60,14
"145","Alpine",2009,"Jan",620,560,60,9.3
"146","Alpine",2009,"Feb",600,550,60,9.5
"147","Alpine",2009,"Mar",560,500,60,10.9
"148","Alpine",2009,"Apr",390,330,50,13.7
"149","Alpine",2009,"May",400,320,70,18.5
"150","Alpine",2009,"Jun",400,330,80,19.2
"151","Alpine",2009,"Jul",390,320,70,16.8
"152","Alpine",2009,"Aug",390,330,60,15.2
"153","Alpine",2009,"Sep",380,320,60,16.2
"154","Alpine",2009,"Oct",390,310,80,19.5
"155","Alpine",2009,"Nov",390,320,70,17.4
"156","Alpine",2009,"Dec",470,400,70,14.4
"157","Alpine",2010,"Jan",710,630,70,10.1
"158","Alpine",2010,"Feb",690,620,70,9.8
"159","Alpine",2010,"Mar",660,590,70,10.7
"160","Alpine",2010,"Apr",450,390,70,14.6
"161","Alpine",2010,"May",450,380,70,15.5
"162","Alpine",2010,"Jun",450,380,70,15.1
"163","Alpine",2010,"Jul",490,410,70,15
"164","Alpine",2010,"Aug",490,420,70,13.8
"165","Alpine",2010,"Sep",480,410,70,14.6
"166","Alpine",2010,"Oct",480,410,70,14
"167","Alpine",2010,"Nov",500,420,80,15.7
"168","Alpine",2010,"Dec",650,580,60,9.9
"169","Alpine",2011,"Jan",750,680,70,9.4
"170","Alpine",2011,"Feb",730,660,70,9.5
"171","Alpine",2011,"Mar",690,620,70,10.2
"172","Alpine",2011,"Apr",630,560,70,11
"173","Alpine",2011,"May",520,430,90,17
"174","Alpine",2011,"Jun",510,420,90,17.1
"175","Alpine",2011,"Jul",550,470,80,14.9
"176","Alpine",2011,"Aug",540,470,70,13.4
"177","Alpine",2011,"Sep",530,450,80,14.5
"178","Alpine",2011,"Oct",520,450,80,14.7
"179","Alpine",2011,"Nov",520,450,70,14
"180","Alpine",2011,"Dec",640,560,80,11.8
"181","Alpine",2012,"Jan",630,550,80,12.1
"182","Alpine",2012,"Feb",670,610,70,10.2
"183","Alpine",2012,"Mar",670,600,60,9.3
"184","Alpine",2012,"Apr",650,600,60,8.4
"185","Alpine",2012,"May",470,410,60,13.6
"186","Alpine",2012,"Jun",490,420,70,13.9
"187","Alpine",2012,"Jul",500,430,70,13.5
"188","Alpine",2012,"Aug",490,430,60,12.8
"189","Alpine",2012,"Sep",480,420,60,11.5
"190","Alpine",2012,"Oct",470,420,50,11.5
"191","Alpine",2012,"Nov",470,420,50,11
"192","Alpine",2012,"Dec",560,510,50,9.4
"193","Alpine",2013,"Jan",650,590,60,9.1
"194","Alpine",2013,"Feb",650,600,60,8.5
"195","Alpine",2013,"Mar",620,570,50,8.4
"196","Alpine",2013,"Apr",490,440,50,10
"197","Alpine",2013,"May",470,420,50,10.6
"198","Alpine",2013,"Jun",480,430,50,11
"199","Alpine",2013,"Jul",500,450,60,11.7
"200","Alpine",2013,"Aug",490,440,50,10.3
"201","Alpine",2013,"Sep",480,430,50,9.8
"202","Alpine",2013,"Oct",470,420,50,10.2
"203","Alpine",2013,"Nov",470,430,40,9.3
"204","Alpine",2013,"Dec",530,490,40,8.1
"205","Alpine",2014,"Jan",540,490,40,7.9
"206","Alpine",2014,"Feb",520,480,40,8.5
"207","Alpine",2014,"Mar",510,470,40,8.6
"208","Alpine",2014,"Apr",510,470,40,7.7
"209","Alpine",2014,"May",500,450,50,10.1
"210","Alpine",2014,"Jun",510,460,50,10
"211","Alpine",2014,"Jul",520,480,50,8.6
"212","Alpine",2014,"Aug",510,460,40,8.5
"213","Alpine",2014,"Sep",500,460,40,7.4
"214","Alpine",2014,"Oct",500,460,40,7.9
"215","Alpine",2014,"Nov",500,460,40,7.6
"216","Alpine",2014,"Dec",560,520,30,5.9
"217","Alpine",2015,"Jan",570,530,40,6.7
"218","Alpine",2015,"Feb",560,520,40,6.9
"219","Alpine",2015,"Mar",540,500,40,7.6
"220","Alpine",2015,"Apr",500,460,40,8.6
"221","Alpine",2015,"May",490,440,50,9.2
"222","Alpine",2015,"Jun",500,450,50,9.2
"223","Alpine",2015,"Jul",500,460,50,9
"224","Alpine",2015,"Aug",490,450,40,8.5
"225","Alpine",2015,"Sep",490,450,40,8.4
"226","Alpine",2015,"Oct",490,450,40,8.4
"227","Alpine",2015,"Nov",480,450,40,7.9
"228","Alpine",2015,"Dec",640,610,40,5.9
"229","Alpine",2016,"Jan",670,640,40,5.4
"230","Alpine",2016,"Feb",670,640,40,5.2
"231","Alpine",2016,"Mar",650,620,40,5.5
"232","Alpine",2016,"Apr",600,570,40,6
"233","Alpine",2016,"May",490,450,40,7.5
"234","Alpine",2016,"Jun",500,460,40,7.6
"235","Alpine",2016,"Jul",510,470,40,7.5
"236","Alpine",2016,"Aug",510,470,40,7.3
"237","Alpine",2016,"Sep",500,470,40,7.4
"238","Alpine",2016,"Oct",500,460,40,7.1
"239","Alpine",2016,"Nov",500,460,40,7.4
"240","Alpine",2016,"Dec",610,580,30,4.8
"241","Amador",2007,"Jan",17400,16290,1110,6.4
"242","Amador",2007,"Feb",17560,16480,1080,6.2
"243","Amador",2007,"Mar",17670,16620,1060,6
"244","Amador",2007,"Apr",17420,16420,1000,5.7
"245","Amador",2007,"May",17530,16600,930,5.3
"246","Amador",2007,"Jun",17750,16770,980,5.5
"247","Amador",2007,"Jul",18040,16990,1050,5.8
"248","Amador",2007,"Aug",17950,16930,1020,5.7
"249","Amador",2007,"Sep",17990,17000,980,5.5
"250","Amador",2007,"Oct",17940,16950,990,5.5
"251","Amador",2007,"Nov",17850,16810,1040,5.8
"252","Amador",2007,"Dec",17640,16520,1120,6.3
"253","Amador",2008,"Jan",17810,16500,1310,7.3
"254","Amador",2008,"Feb",17780,16530,1250,7
"255","Amador",2008,"Mar",17800,16490,1310,7.4
"256","Amador",2008,"Apr",17730,16550,1190,6.7
"257","Amador",2008,"May",17820,16600,1230,6.9
"258","Amador",2008,"Jun",18100,16800,1300,7.2
"259","Amador",2008,"Jul",17920,16530,1390,7.8
"260","Amador",2008,"Aug",17880,16480,1410,7.9
"261","Amador",2008,"Sep",17950,16580,1370,7.6
"262","Amador",2008,"Oct",17840,16410,1430,8
"263","Amador",2008,"Nov",17610,16100,1510,8.6
"264","Amador",2008,"Dec",17630,15990,1640,9.3
"265","Amador",2009,"Jan",17740,15750,1990,11.2
"266","Amador",2009,"Feb",17900,15850,2050,11.4
"267","Amador",2009,"Mar",18040,15960,2080,11.5
"268","Amador",2009,"Apr",17870,15940,1930,10.8
"269","Amador",2009,"May",17870,15880,1980,11.1
"270","Amador",2009,"Jun",17740,15640,2100,11.8
"271","Amador",2009,"Jul",17870,15730,2140,12
"272","Amador",2009,"Aug",18000,15880,2120,11.8
"273","Amador",2009,"Sep",17840,15770,2080,11.7
"274","Amador",2009,"Oct",17910,15770,2140,11.9
"275","Amador",2009,"Nov",17780,15580,2200,12.4
"276","Amador",2009,"Dec",17460,15280,2180,12.5
"277","Amador",2010,"Jan",15540,13220,2330,15
"278","Amador",2010,"Feb",15630,13290,2350,15
"279","Amador",2010,"Mar",15750,13400,2350,14.9
"280","Amador",2010,"Apr",15510,13320,2190,14.1
"281","Amador",2010,"May",15550,13450,2100,13.5
"282","Amador",2010,"Jun",15740,13610,2130,13.5
"283","Amador",2010,"Jul",15650,13510,2140,13.7
"284","Amador",2010,"Aug",15460,13350,2110,13.6
"285","Amador",2010,"Sep",15360,13280,2080,13.6
"286","Amador",2010,"Oct",15380,13310,2070,13.4
"287","Amador",2010,"Nov",15330,13150,2180,14.2
"288","Amador",2010,"Dec",15190,13030,2160,14.2
"289","Amador",2011,"Jan",15250,12950,2310,15.1
"290","Amador",2011,"Feb",15240,13020,2220,14.6
"291","Amador",2011,"Mar",15310,13110,2200,14.4
"292","Amador",2011,"Apr",15120,13110,2010,13.3
"293","Amador",2011,"May",15070,13140,1930,12.8
"294","Amador",2011,"Jun",15310,13310,2010,13.1
"295","Amador",2011,"Jul",15250,13230,2010,13.2
"296","Amador",2011,"Aug",15050,13040,2010,13.4
"297","Amador",2011,"Sep",14950,12920,2030,13.6
"298","Amador",2011,"Oct",15040,13050,1990,13.2
"299","Amador",2011,"Nov",14820,12860,1960,13.2
"300","Amador",2011,"Dec",14730,12740,1990,13.5
"301","Amador",2012,"Jan",14740,12670,2070,14
"302","Amador",2012,"Feb",14750,12730,2020,13.7
"303","Amador",2012,"Mar",14800,12790,2010,13.6
"304","Amador",2012,"Apr",14540,12680,1860,12.8
"305","Amador",2012,"May",14590,12830,1760,12.1
"306","Amador",2012,"Jun",14830,13030,1800,12.2
"307","Amador",2012,"Jul",15010,13170,1840,12.3
"308","Amador",2012,"Aug",14670,12930,1740,11.8
"309","Amador",2012,"Sep",14740,13090,1650,11.2
"310","Amador",2012,"Oct",14840,13200,1640,11
"311","Amador",2012,"Nov",14500,12890,1610,11.1
"312","Amador",2012,"Dec",14350,12710,1640,11.4
"313","Amador",2013,"Jan",14400,12640,1770,12.3
"314","Amador",2013,"Feb",14440,12760,1680,11.6
"315","Amador",2013,"Mar",14430,12840,1590,11
"316","Amador",2013,"Apr",14410,12920,1490,10.3
"317","Amador",2013,"May",14600,13160,1440,9.9
"318","Amador",2013,"Jun",14750,13230,1520,10.3
"319","Amador",2013,"Jul",14810,13310,1500,10.1
"320","Amador",2013,"Aug",14650,13240,1420,9.7
"321","Amador",2013,"Sep",14620,13240,1380,9.4
"322","Amador",2013,"Oct",14370,12960,1410,9.8
"323","Amador",2013,"Nov",14220,12830,1390,9.8
"324","Amador",2013,"Dec",14110,12780,1330,9.4
"325","Amador",2014,"Jan",14270,12860,1410,9.9
"326","Amador",2014,"Feb",14390,12970,1420,9.9
"327","Amador",2014,"Mar",14490,13080,1410,9.8
"328","Amador",2014,"Apr",14180,12990,1190,8.4
"329","Amador",2014,"May",14410,13260,1160,8
"330","Amador",2014,"Jun",14500,13340,1160,8
"331","Amador",2014,"Jul",14640,13430,1210,8.3
"332","Amador",2014,"Aug",14630,13470,1150,7.9
"333","Amador",2014,"Sep",14640,13580,1070,7.3
"334","Amador",2014,"Oct",14510,13470,1050,7.2
"335","Amador",2014,"Nov",14330,13260,1080,7.5
"336","Amador",2014,"Dec",14170,13130,1040,7.4
"337","Amador",2015,"Jan",14350,13210,1140,8
"338","Amador",2015,"Feb",14350,13270,1080,7.5
"339","Amador",2015,"Mar",14420,13360,1060,7.3
"340","Amador",2015,"Apr",14420,13460,960,6.7
"341","Amador",2015,"May",14570,13630,940,6.4
"342","Amador",2015,"Jun",14600,13680,930,6.3
"343","Amador",2015,"Jul",14600,13630,970,6.6
"344","Amador",2015,"Aug",14550,13660,900,6.2
"345","Amador",2015,"Sep",14390,13570,820,5.7
"346","Amador",2015,"Oct",14300,13420,880,6.1
"347","Amador",2015,"Nov",14190,13280,910,6.4
"348","Amador",2015,"Dec",14100,13210,890,6.3
"349","Amador",2016,"Jan",14170,13240,940,6.6
"350","Amador",2016,"Feb",14360,13440,920,6.4
"351","Amador",2016,"Mar",14510,13580,930,6.4
"352","Amador",2016,"Apr",14510,13660,850,5.9
"353","Amador",2016,"May",14610,13840,770,5.3
"354","Amador",2016,"Jun",14740,13860,880,6
"355","Amador",2016,"Jul",14970,14040,930,6.2
"356","Amador",2016,"Aug",15070,14210,860,5.7
"357","Amador",2016,"Sep",15180,14360,820,5.4
"358","Amador",2016,"Oct",15120,14290,830,5.5
"359","Amador",2016,"Nov",14860,14050,820,5.5
"360","Amador",2016,"Dec",14720,13880,840,5.7
"361","Butte",2007,"Jan",100900,93600,7300,7.3
"362","Butte",2007,"Feb",101900,94800,7100,7
"363","Butte",2007,"Mar",101900,94900,7100,6.9
"364","Butte",2007,"Apr",101600,94900,6700,6.6
"365","Butte",2007,"May",100400,94200,6200,6.2
"366","Butte",2007,"Jun",101200,94300,6800,6.8
"367","Butte",2007,"Jul",100600,93400,7200,7.1
"368","Butte",2007,"Aug",101200,94800,6500,6.4
"369","Butte",2007,"Sep",101800,95700,6100,6
"370","Butte",2007,"Oct",101800,95800,6100,6
"371","Butte",2007,"Nov",101800,95300,6600,6.5
"372","Butte",2007,"Dec",101400,94000,7400,7.3
"373","Butte",2008,"Jan",101200,92700,8500,8.4
"374","Butte",2008,"Feb",102300,94200,8000,7.9
"375","Butte",2008,"Mar",102200,93800,8400,8.3
"376","Butte",2008,"Apr",103300,95800,7500,7.2
"377","Butte",2008,"May",102500,94900,7700,7.5
"378","Butte",2008,"Jun",103200,94700,8400,8.2
"379","Butte",2008,"Jul",103000,93900,9100,8.8
"380","Butte",2008,"Aug",104000,95200,8800,8.5
"381","Butte",2008,"Sep",103900,95500,8400,8
"382","Butte",2008,"Oct",103600,94800,8800,8.5
"383","Butte",2008,"Nov",103000,93400,9600,9.3
"384","Butte",2008,"Dec",103200,92700,10500,10.2
"385","Butte",2009,"Jan",102900,90400,12500,12.2
"386","Butte",2009,"Feb",104400,91500,12900,12.4
"387","Butte",2009,"Mar",103700,90500,13100,12.6
"388","Butte",2009,"Apr",104300,92100,12200,11.7
"389","Butte",2009,"May",103600,91300,12300,11.9
"390","Butte",2009,"Jun",104500,91000,13500,12.9
"391","Butte",2009,"Jul",103400,89600,13800,13.3
"392","Butte",2009,"Aug",104700,91600,13200,12.6
"393","Butte",2009,"Sep",102900,90300,12500,12.2
"394","Butte",2009,"Oct",103800,90800,13100,12.6
"395","Butte",2009,"Nov",104200,90800,13500,12.9
"396","Butte",2009,"Dec",103900,90200,13800,13.2
"397","Butte",2010,"Jan",101800,86700,15100,14.8
"398","Butte",2010,"Feb",102400,87300,15100,14.8
"399","Butte",2010,"Mar",102500,87500,15000,14.7
"400","Butte",2010,"Apr",103100,89000,14100,13.7
"401","Butte",2010,"May",102200,88600,13600,13.3
"402","Butte",2010,"Jun",102500,88300,14200,13.9
"403","Butte",2010,"Jul",102500,87800,14700,14.3
"404","Butte",2010,"Aug",102700,88800,14000,13.6
"405","Butte",2010,"Sep",101800,88600,13200,13
"406","Butte",2010,"Oct",104000,90600,13400,12.9
"407","Butte",2010,"Nov",103700,89500,14200,13.7
"408","Butte",2010,"Dec",101400,87100,14300,14.1
"409","Butte",2011,"Jan",100800,85500,15300,15.2
"410","Butte",2011,"Feb",101000,86200,14700,14.6
"411","Butte",2011,"Mar",100300,85700,14600,14.6
"412","Butte",2011,"Apr",101300,87700,13600,13.4
"413","Butte",2011,"May",100500,87300,13100,13.1
"414","Butte",2011,"Jun",100900,86600,14300,14.1
"415","Butte",2011,"Jul",99600,85300,14300,14.4
"416","Butte",2011,"Aug",100600,86900,13700,13.7
"417","Butte",2011,"Sep",100900,87900,13000,12.9
"418","Butte",2011,"Oct",100200,87500,12800,12.7
"419","Butte",2011,"Nov",100900,88200,12700,12.6
"420","Butte",2011,"Dec",100800,87800,13000,12.9
"421","Butte",2012,"Jan",101400,87500,13900,13.7
"422","Butte",2012,"Feb",101200,87500,13700,13.5
"423","Butte",2012,"Mar",100500,87000,13500,13.4
"424","Butte",2012,"Apr",101400,89000,12400,12.2
"425","Butte",2012,"May",101600,89600,12000,11.8
"426","Butte",2012,"Jun",101500,88600,12900,12.7
"427","Butte",2012,"Jul",100200,87200,13000,13
"428","Butte",2012,"Aug",101200,89100,12100,11.9
"429","Butte",2012,"Sep",100300,89500,10900,10.8
"430","Butte",2012,"Oct",101900,91000,10900,10.7
"431","Butte",2012,"Nov",101100,90200,10900,10.8
"432","Butte",2012,"Dec",101400,90000,11400,11.2
"433","Butte",2013,"Jan",102600,89900,12600,12.3
"434","Butte",2013,"Feb",102100,90400,11700,11.5
"435","Butte",2013,"Mar",101200,90000,11200,11.1
"436","Butte",2013,"Apr",102200,91900,10300,10.1
"437","Butte",2013,"May",102000,91900,10100,9.9
"438","Butte",2013,"Jun",102300,91400,10900,10.7
"439","Butte",2013,"Jul",101700,90800,10900,10.7
"440","Butte",2013,"Aug",103100,92900,10200,9.9
"441","Butte",2013,"Sep",101000,91600,9400,9.3
"442","Butte",2013,"Oct",102600,93000,9600,9.3
"443","Butte",2013,"Nov",101900,92200,9600,9.5
"444","Butte",2013,"Dec",101200,91800,9400,9.2
"445","Butte",2014,"Jan",102200,91800,10400,10.1
"446","Butte",2014,"Feb",102300,92000,10300,10.1
"447","Butte",2014,"Mar",102400,92300,10100,9.9
"448","Butte",2014,"Apr",101800,93100,8700,8.6
"449","Butte",2014,"May",102000,93600,8300,8.2
"450","Butte",2014,"Jun",102000,93300,8800,8.6
"451","Butte",2014,"Jul",100500,91200,9300,9.2
"452","Butte",2014,"Aug",101500,92900,8700,8.5
"453","Butte",2014,"Sep",101100,93500,7600,7.5
"454","Butte",2014,"Oct",103000,95400,7600,7.4
"455","Butte",2014,"Nov",101800,93900,7900,7.8
"456","Butte",2014,"Dec",101400,93600,7800,7.7
"457","Butte",2015,"Jan",101700,93000,8700,8.5
"458","Butte",2015,"Feb",102100,93900,8200,8
"459","Butte",2015,"Mar",101900,93900,8000,7.8
"460","Butte",2015,"Apr",101900,94800,7100,7
"461","Butte",2015,"May",103000,95900,7100,6.9
"462","Butte",2015,"Jun",101800,94400,7400,7.3
"463","Butte",2015,"Jul",100400,92700,7700,7.7
"464","Butte",2015,"Aug",100500,93500,7000,7
"465","Butte",2015,"Sep",100500,94300,6200,6.2
"466","Butte",2015,"Oct",102800,96300,6500,6.3
"467","Butte",2015,"Nov",102300,95300,6900,6.8
"468","Butte",2015,"Dec",101900,94900,7100,6.9
"469","Butte",2016,"Jan",101600,94200,7400,7.3
"470","Butte",2016,"Feb",101600,94400,7300,7.1
"471","Butte",2016,"Mar",101200,93900,7200,7.2
"472","Butte",2016,"Apr",101800,95300,6600,6.4
"473","Butte",2016,"May",101500,95700,5900,5.8
"474","Butte",2016,"Jun",102700,95400,7300,7.1
"475","Butte",2016,"Jul",101900,94500,7400,7.3
"476","Butte",2016,"Aug",102900,96000,6800,6.6
"477","Butte",2016,"Sep",103600,97400,6200,6
"478","Butte",2016,"Oct",104800,98500,6200,6
"479","Butte",2016,"Nov",104100,98000,6100,5.9
"480","Butte",2016,"Dec",102800,96400,6400,6.3
"481","Calaveras",2007,"Jan",20420,19030,1390,6.8
"482","Calaveras",2007,"Feb",20450,19030,1420,6.9
"483","Calaveras",2007,"Mar",20570,19200,1380,6.7
"484","Calaveras",2007,"Apr",20630,19340,1290,6.3
"485","Calaveras",2007,"May",20800,19550,1240,6
"486","Calaveras",2007,"Jun",21280,19970,1310,6.1
"487","Calaveras",2007,"Jul",21000,19640,1370,6.5
"488","Calaveras",2007,"Aug",20950,19660,1290,6.2
"489","Calaveras",2007,"Sep",21060,19810,1250,5.9
"490","Calaveras",2007,"Oct",20910,19630,1280,6.1
"491","Calaveras",2007,"Nov",20630,19300,1340,6.5
"492","Calaveras",2007,"Dec",20360,18900,1450,7.1
"493","Calaveras",2008,"Jan",20340,18600,1740,8.5
"494","Calaveras",2008,"Feb",20150,18550,1600,7.9
"495","Calaveras",2008,"Mar",20350,18680,1670,8.2
"496","Calaveras",2008,"Apr",20440,18940,1500,7.3
"497","Calaveras",2008,"May",20810,19230,1580,7.6
"498","Calaveras",2008,"Jun",21290,19630,1660,7.8
"499","Calaveras",2008,"Jul",21010,19260,1750,8.3
"500","Calaveras",2008,"Aug",21090,19250,1840,8.7
"501","Calaveras",2008,"Sep",20880,19080,1800,8.6
"502","Calaveras",2008,"Oct",20660,18730,1930,9.3
"503","Calaveras",2008,"Nov",20360,18300,2060,10.1
"504","Calaveras",2008,"Dec",20410,18180,2230,10.9
"505","Calaveras",2009,"Jan",20250,17620,2630,13
"506","Calaveras",2009,"Feb",20300,17550,2750,13.5
"507","Calaveras",2009,"Mar",20300,17500,2800,13.8
