"","County","Month","Year","Clamaints"
"189","KERN","Apr",2007,14616
"190","KINGS","Apr",2007,2673
"191","LAKE","Apr",2007,1004
"192","LASSEN","Apr",2007,523
"193","LOS ANGELES","Apr",2007,75911
"194","MADERA","Apr",2007,2617
"195","MARIN","Apr",2007,1323
"196","MARIPOSA","Apr",2007,297
"197","MENDOCINO","Apr",2007,1252
"198","MERCED","Apr",2007,5875
"199","MODOC","Apr",2007,170
"200","MONO","Apr",2007,163
"201","MONTEREY","Apr",2007,8260
"202","NAPA","Apr",2007,1038
"203","NEVADA","Apr",2007,1054
"204","ORANGE","Apr",2007,19488
"205","PLACER","Apr",2007,3226
"206","PLUMAS","Apr",2007,600
"207","RIVERSIDE","Apr",2007,20013
"208","SACRAMENTO","Apr",2007,15569
"209","SAN BENITO","Apr",2007,988
"210","SAN BERNARDINO","Apr",2007,17630
"211","SAN DIEGO","Apr",2007,25099
"212","SAN FRANCISCO","Apr",2007,7533
"213","SAN JOAQUIN","Apr",2007,11148
"214","SAN LUIS OBISPO","Apr",2007,1708
"215","SAN MATEO","Apr",2007,4279
"216","SANTA BARBARA","Apr",2007,3056
"217","SANTA CLARA","Apr",2007,14735
"218","SANTA CRUZ","Apr",2007,5083
"219","SHASTA","Apr",2007,3360
"220","SIERRA","Apr",2007,106
"221","SISKIYOU","Apr",2007,852
"222","SOLANO","Apr",2007,4316
"223","SONOMA","Apr",2007,4512
"224","STANISLAUS","Apr",2007,10615
"225","SUTTER","Apr",2007,2470
"226","TEHAMA","Apr",2007,961
"227","TRINITY","Apr",2007,306
"228","TULARE","Apr",2007,10154
"229","TUOLUMNE","Apr",2007,800
"230","VENTURA","Apr",2007,6991
"231","YOLO","Apr",2007,2387
"232","YUBA","Apr",2007,1316
"233","ALAMEDA","May",2007,12846
"234","ALPINE","May",2007,26
"235","AMADOR","May",2007,411
"236","BUTTE","May",2007,2809
"237","CALAVERAS","May",2007,556
"238","COLUSA","May",2007,438
"239","CONTRA COSTA","May",2007,8402
"240","DEL NORTE","May",2007,308
"241","EL DORADO","May",2007,1814
"242","FRESNO","May",2007,15980
"243","GLENN","May",2007,495
"244","HUMBOLDT","May",2007,1336
"245","IMPERIAL","May",2007,7760
"246","INYO","May",2007,178
"247","KERN","May",2007,12277
"248","KINGS","May",2007,2174
"249","LAKE","May",2007,859
"250","LASSEN","May",2007,391
"251","LOS ANGELES","May",2007,80788
"252","MADERA","May",2007,2050
"253","MARIN","May",2007,1255
"254","MARIPOSA","May",2007,242
"255","MENDOCINO","May",2007,924
"256","MERCED","May",2007,4727
"257","MODOC","May",2007,121
"258","MONO","May",2007,271
"259","MONTEREY","May",2007,4890
"260","NAPA","May",2007,899
"261","NEVADA","May",2007,931
"262","ORANGE","May",2007,19822
"263","PLACER","May",2007,3046
"264","PLUMAS","May",2007,404
"265","RIVERSIDE","May",2007,19529
"266","SACRAMENTO","May",2007,14590
"267","SAN BENITO","May",2007,792
"268","SAN BERNARDINO","May",2007,18004
"269","SAN DIEGO","May",2007,25184
"270","SAN FRANCISCO","May",2007,7205
"271","SAN JOAQUIN","May",2007,9637
"272","SAN LUIS OBISPO","May",2007,1539
"273","SAN MATEO","May",2007,4244
"274","SANTA BARBARA","May",2007,2504
"275","SANTA CLARA","May",2007,14404
"276","SANTA CRUZ","May",2007,3225
"277","SHASTA","May",2007,2766
"278","SIERRA","May",2007,57
"279","SISKIYOU","May",2007,625
"280","SOLANO","May",2007,4265
"281","SONOMA","May",2007,4145
"282","STANISLAUS","May",2007,9320
"283","SUTTER","May",2007,2126
"284","TEHAMA","May",2007,790
"285","TRINITY","May",2007,214
"286","TULARE","May",2007,8214
"287","TUOLUMNE","May",2007,658
"288","VENTURA","May",2007,6961
"289","YOLO","May",2007,1941
"290","YUBA","May",2007,1092
"291","ALAMEDA","Jun",2007,13227
"292","ALPINE","Jun",2007,24
"293","AMADOR","Jun",2007,329
"294","BUTTE","Jun",2007,2699
"295","CALAVERAS","Jun",2007,488
"296","COLUSA","Jun",2007,333
"297","CONTRA COSTA","Jun",2007,8332
"298","DEL NORTE","Jun",2007,314
"299","EL DORADO","Jun",2007,1562
"300","FRESNO","Jun",2007,13696
"301","GLENN","Jun",2007,464
"302","HUMBOLDT","Jun",2007,1174
"303","IMPERIAL","Jun",2007,7719
"304","INYO","Jun",2007,160
"305","KERN","Jun",2007,11530
"306","KINGS","Jun",2007,1988
"307","LAKE","Jun",2007,714
"308","LASSEN","Jun",2007,255
"309","LOS ANGELES","Jun",2007,83278
"310","MADERA","Jun",2007,1641
"311","MARIN","Jun",2007,1301
"312","MARIPOSA","Jun",2007,175
"313","MENDOCINO","Jun",2007,736
"314","MERCED","Jun",2007,3946
"315","MODOC","Jun",2007,97
"316","MONO","Jun",2007,195
"317","MONTEREY","Jun",2007,3436
"318","NAPA","Jun",2007,812
"319","NEVADA","Jun",2007,824
"320","ORANGE","Jun",2007,20684
"321","PLACER","Jun",2007,2952
"322","PLUMAS","Jun",2007,235
"323","RIVERSIDE","Jun",2007,20550
"324","SACRAMENTO","Jun",2007,14526
"325","SAN BENITO","Jun",2007,642
"326","SAN BERNARDINO","Jun",2007,18477
"327","SAN DIEGO","Jun",2007,25079
"328","SAN FRANCISCO","Jun",2007,7577
"329","SAN JOAQUIN","Jun",2007,8989
"330","SAN LUIS OBISPO","Jun",2007,1711
"331","SAN MATEO","Jun",2007,4332
"332","SANTA BARBARA","Jun",2007,2486
"333","SANTA CLARA","Jun",2007,14470
"334","SANTA CRUZ","Jun",2007,2405
"335","SHASTA","Jun",2007,2442
"336","SIERRA","Jun",2007,34
"337","SISKIYOU","Jun",2007,517
"338","SOLANO","Jun",2007,4099
"339","SONOMA","Jun",2007,4059
"340","STANISLAUS","Jun",2007,8057
"341","SUTTER","Jun",2007,1674
"342","TEHAMA","Jun",2007,706
"343","TRINITY","Jun",2007,161
"344","TULARE","Jun",2007,7399
"345","TUOLUMNE","Jun",2007,492
"346","VENTURA","Jun",2007,7165
"347","YOLO","Jun",2007,1667
"348","YUBA","Jun",2007,977
"349","ALAMEDA","Jul",2007,13856
"350","ALPINE","Jul",2007,24
"351","AMADOR","Jul",2007,346
"352","BUTTE","Jul",2007,2530
"353","CALAVERAS","Jul",2007,457
"354","COLUSA","Jul",2007,229
"355","CONTRA COSTA","Jul",2007,8774
"356","DEL NORTE","Jul",2007,314
"357","EL DORADO","Jul",2007,1532
"358","FRESNO","Jul",2007,12191
"359","GLENN","Jul",2007,496
"360","HUMBOLDT","Jul",2007,1225
"361","IMPERIAL","Jul",2007,9728
"362","INYO","Jul",2007,166
"363","KERN","Jul",2007,9671
"364","KINGS","Jul",2007,1507
"365","LAKE","Jul",2007,661
"366","LASSEN","Jul",2007,261
"367","LOS ANGELES","Jul",2007,88401
"368","MADERA","Jul",2007,1619
"369","MARIN","Jul",2007,1395
"370","MARIPOSA","Jul",2007,168
"371","MENDOCINO","Jul",2007,777
"372","MERCED","Jul",2007,3512
"373","MODOC","Jul",2007,93
"374","MONO","Jul",2007,168
"375","MONTEREY","Jul",2007,3267
"376","NAPA","Jul",2007,821
"377","NEVADA","Jul",2007,888
"378","ORANGE","Jul",2007,21919
"379","PLACER","Jul",2007,2942
"380","PLUMAS","Jul",2007,240
"381","RIVERSIDE","Jul",2007,24078
"382","SACRAMENTO","Jul",2007,14562
"383","SAN BENITO","Jul",2007,518
"384","SAN BERNARDINO","Jul",2007,19287
"385","SAN DIEGO","Jul",2007,26111
"386","SAN FRANCISCO","Jul",2007,7752
"387","SAN JOAQUIN","Jul",2007,8998
"388","SAN LUIS OBISPO","Jul",2007,1785
"389","SAN MATEO","Jul",2007,4375
"390","SANTA BARBARA","Jul",2007,2527
"391","SANTA CLARA","Jul",2007,14851
"392","SANTA CRUZ","Jul",2007,2346
"393","SHASTA","Jul",2007,2318
"394","SIERRA","Jul",2007,35
"395","SISKIYOU","Jul",2007,486
"396","SOLANO","Jul",2007,4403
"397","SONOMA","Jul",2007,4082
"398","STANISLAUS","Jul",2007,7369
"399","SUTTER","Jul",2007,1280
"400","TEHAMA","Jul",2007,694
"401","TRINITY","Jul",2007,144
"402","TULARE","Jul",2007,6451
"403","TUOLUMNE","Jul",2007,494
"404","VENTURA","Jul",2007,8271
"405","YOLO","Jul",2007,1688
"406","YUBA","Jul",2007,899
"407","ALAMEDA","Aug",2007,13270
"408","ALPINE","Aug",2007,26
"409","AMADOR","Aug",2007,344
"410","BUTTE","Aug",2007,2209
"411","CALAVERAS","Aug",2007,433
"412","COLUSA","Aug",2007,191
"413","CONTRA COSTA","Aug",2007,8609
"414","DEL NORTE","Aug",2007,290
"415","EL DORADO","Aug",2007,1495
"416","FRESNO","Aug",2007,10729
"417","GLENN","Aug",2007,336
"418","HUMBOLDT","Aug",2007,1176
"419","IMPERIAL","Aug",2007,10266
"420","INYO","Aug",2007,156
"421","KERN","Aug",2007,9032
"422","KINGS","Aug",2007,1226
"423","LAKE","Aug",2007,610
"424","LASSEN","Aug",2007,226
"425","LOS ANGELES","Aug",2007,85144
"426","MADERA","Aug",2007,1295
"427","MARIN","Aug",2007,1404
"428","MARIPOSA","Aug",2007,128
"429","MENDOCINO","Aug",2007,710
"430","MERCED","Aug",2007,2822
"431","MODOC","Aug",2007,79
"432","MONO","Aug",2007,145
"433","MONTEREY","Aug",2007,3159
"434","NAPA","Aug",2007,834
"435","NEVADA","Aug",2007,831
"436","ORANGE","Aug",2007,22209
"437","PLACER","Aug",2007,2936
"438","PLUMAS","Aug",2007,215
"439","RIVERSIDE","Aug",2007,24581
"440","SACRAMENTO","Aug",2007,14194
"441","SAN BENITO","Aug",2007,481
"442","SAN BERNARDINO","Aug",2007,19280
"443","SAN DIEGO","Aug",2007,26236
"444","SAN FRANCISCO","Aug",2007,7524
"445","SAN JOAQUIN","Aug",2007,8352
"446","SAN LUIS OBISPO","Aug",2007,1760
"447","SAN MATEO","Aug",2007,4258
"448","SANTA BARBARA","Aug",2007,2510
"449","SANTA CLARA","Aug",2007,14614
"450","SANTA CRUZ","Aug",2007,2258
"451","SHASTA","Aug",2007,2092
"452","SIERRA","Aug",2007,20
"453","SISKIYOU","Aug",2007,434
"454","SOLANO","Aug",2007,4387
"455","SONOMA","Aug",2007,4095
"456","STANISLAUS","Aug",2007,6701
"457","SUTTER","Aug",2007,1015
"458","TEHAMA","Aug",2007,628
"459","TRINITY","Aug",2007,126
"460","TULARE","Aug",2007,5919
"461","TUOLUMNE","Aug",2007,476
"462","VENTURA","Aug",2007,8982
"463","YOLO","Aug",2007,1465
"464","YUBA","Aug",2007,820
"465","ALAMEDA","Sep",2007,12469
"466","ALPINE","Sep",2007,22
"467","AMADOR","Sep",2007,307
"468","BUTTE","Sep",2007,1931
"469","CALAVERAS","Sep",2007,421
"470","COLUSA","Sep",2007,171
"471","CONTRA COSTA","Sep",2007,8167
"472","DEL NORTE","Sep",2007,267
"473","EL DORADO","Sep",2007,1444
"474","FRESNO","Sep",2007,10770
"475","GLENN","Sep",2007,251
"476","HUMBOLDT","Sep",2007,973
"477","IMPERIAL","Sep",2007,9985
"478","INYO","Sep",2007,169
"479","KERN","Sep",2007,8835
"480","KINGS","Sep",2007,1163
"481","LAKE","Sep",2007,607
"482","LASSEN","Sep",2007,187
"483","LOS ANGELES","Sep",2007,78058
"484","MADERA","Sep",2007,1218
"485","MARIN","Sep",2007,1282
"486","MARIPOSA","Sep",2007,130
"487","MENDOCINO","Sep",2007,626
"488","MERCED","Sep",2007,2605
"489","MODOC","Sep",2007,70
"490","MONO","Sep",2007,156
"491","MONTEREY","Sep",2007,2935
"492","NAPA","Sep",2007,803
"493","NEVADA","Sep",2007,783
"494","ORANGE","Sep",2007,22169
"495","PLACER","Sep",2007,2916
"496","PLUMAS","Sep",2007,157
"497","RIVERSIDE","Sep",2007,23769
"498","SACRAMENTO","Sep",2007,13805
"499","SAN BENITO","Sep",2007,487
"500","SAN BERNARDINO","Sep",2007,18564
"501","SAN DIEGO","Sep",2007,25998
"502","SAN FRANCISCO","Sep",2007,6666
"503","SAN JOAQUIN","Sep",2007,8076
"504","SAN LUIS OBISPO","Sep",2007,1655
"505","SAN MATEO","Sep",2007,3924
"506","SANTA BARBARA","Sep",2007,2488
"507","SANTA CLARA","Sep",2007,14174
"508","SANTA CRUZ","Sep",2007,2079
"509","SHASTA","Sep",2007,1989
"510","SIERRA","Sep",2007,17
"511","SISKIYOU","Sep",2007,380
"512","SOLANO","Sep",2007,4181
"513","SONOMA","Sep",2007,3774
"514","STANISLAUS","Sep",2007,6329
"515","SUTTER","Sep",2007,1020
"516","TEHAMA","Sep",2007,507
"517","TRINITY","Sep",2007,115
"518","TULARE","Sep",2007,5790
"519","TUOLUMNE","Sep",2007,397
"520","VENTURA","Sep",2007,8818
"521","YOLO","Sep",2007,1470
"522","YUBA","Sep",2007,781
"523","ALAMEDA","Oct",2007,12744
"524","ALPINE","Oct",2007,18
"525","AMADOR","Oct",2007,347
"526","BUTTE","Oct",2007,2018
"527","CALAVERAS","Oct",2007,477
"528","COLUSA","Oct",2007,317
"529","CONTRA COSTA","Oct",2007,8294
"530","DEL NORTE","Oct",2007,296
"531","EL DORADO","Oct",2007,1570
"532","FRESNO","Oct",2007,14089
"533","GLENN","Oct",2007,273
"534","HUMBOLDT","Oct",2007,1116
"535","IMPERIAL","Oct",2007,9325
"536","INYO","Oct",2007,166
"537","KERN","Oct",2007,9748
"538","KINGS","Oct",2007,1754
"539","LAKE","Oct",2007,709
"540","LASSEN","Oct",2007,245
"541","LOS ANGELES","Oct",2007,77059
"542","MADERA","Oct",2007,1501
"543","MARIN","Oct",2007,1343
"544","MARIPOSA","Oct",2007,153
"545","MENDOCINO","Oct",2007,738
"546","MERCED","Oct",2007,2843
"547","MODOC","Oct",2007,82
"548","MONO","Oct",2007,181
"549","MONTEREY","Oct",2007,3324
"550","NAPA","Oct",2007,846
"551","NEVADA","Oct",2007,815
"552","ORANGE","Oct",2007,22570
"553","PLACER","Oct",2007,3093
"554","PLUMAS","Oct",2007,211
"555","RIVERSIDE","Oct",2007,24002
"556","SACRAMENTO","Oct",2007,14345
"557","SAN BENITO","Oct",2007,583
"558","SAN BERNARDINO","Oct",2007,19053
"559","SAN DIEGO","Oct",2007,26946
"560","SAN FRANCISCO","Oct",2007,6681
"561","SAN JOAQUIN","Oct",2007,8892
"562","SAN LUIS OBISPO","Oct",2007,1627
"563","SAN MATEO","Oct",2007,3966
"564","SANTA BARBARA","Oct",2007,2732
"565","SANTA CLARA","Oct",2007,14371
"566","SANTA CRUZ","Oct",2007,2375
"567","SHASTA","Oct",2007,2263
"568","SIERRA","Oct",2007,27
"569","SISKIYOU","Oct",2007,400
"570","SOLANO","Oct",2007,4151
"571","SONOMA","Oct",2007,3861
"572","STANISLAUS","Oct",2007,7601
"573","SUTTER","Oct",2007,1330
"574","TEHAMA","Oct",2007,536
"575","TRINITY","Oct",2007,154
"576","TULARE","Oct",2007,6434
"577","TUOLUMNE","Oct",2007,490
"578","VENTURA","Oct",2007,8322
"579","YOLO","Oct",2007,1809
"580","YUBA","Oct",2007,889
"581","ALAMEDA","Nov",2007,12884
"582","ALPINE","Nov",2007,12
"583","AMADOR","Nov",2007,384
"584","BUTTE","Nov",2007,2591
"585","CALAVERAS","Nov",2007,529
"586","COLUSA","Nov",2007,709
"587","CONTRA COSTA","Nov",2007,8747
"588","DEL NORTE","Nov",2007,392
"589","EL DORADO","Nov",2007,1870
"590","FRESNO","Nov",2007,17600
"591","GLENN","Nov",2007,398
"592","HUMBOLDT","Nov",2007,1426
"593","IMPERIAL","Nov",2007,8354
"594","INYO","Nov",2007,194
"595","KERN","Nov",2007,13212
"596","KINGS","Nov",2007,2307
"597","LAKE","Nov",2007,920
"598","LASSEN","Nov",2007,358
"599","LOS ANGELES","Nov",2007,79087
"600","MADERA","Nov",2007,2106
"601","MARIN","Nov",2007,1364
"602","MARIPOSA","Nov",2007,226
"603","MENDOCINO","Nov",2007,944
"604","MERCED","Nov",2007,4790
"605","MODOC","Nov",2007,109
"606","MONO","Nov",2007,209
"607","MONTEREY","Nov",2007,5615
"608","NAPA","Nov",2007,1272
"609","NEVADA","Nov",2007,930
"610","ORANGE","Nov",2007,23430
"611","PLACER","Nov",2007,3361
"612","PLUMAS","Nov",2007,378
"613","RIVERSIDE","Nov",2007,24528
"614","SACRAMENTO","Nov",2007,15504
"615","SAN BENITO","Nov",2007,728
"616","SAN BERNARDINO","Nov",2007,20294
"617","SAN DIEGO","Nov",2007,27691
"618","SAN FRANCISCO","Nov",2007,6657
"619","SAN JOAQUIN","Nov",2007,11130
"620","SAN LUIS OBISPO","Nov",2007,1869
"621","SAN MATEO","Nov",2007,4038
"622","SANTA BARBARA","Nov",2007,3277
"623","SANTA CLARA","Nov",2007,14634
"624","SANTA CRUZ","Nov",2007,3446
"625","SHASTA","Nov",2007,2751
"626","SIERRA","Nov",2007,48
"627","SISKIYOU","Nov",2007,610
"628","SOLANO","Nov",2007,4530
"629","SONOMA","Nov",2007,4204
"630","STANISLAUS","Nov",2007,9283
"631","SUTTER","Nov",2007,1981
"632","TEHAMA","Nov",2007,676
"633","TRINITY","Nov",2007,205
"634","TULARE","Nov",2007,8658
"635","TUOLUMNE","Nov",2007,582
"636","VENTURA","Nov",2007,9379
"637","YOLO","Nov",2007,2388
"638","YUBA","Nov",2007,1126
"639","ALAMEDA","Dec",2007,12982
"640","ALPINE","Dec",2007,11
"641","AMADOR","Dec",2007,459
"642","BUTTE","Dec",2007,3343
"643","CALAVERAS","Dec",2007,621
"644","COLUSA","Dec",2007,1039
"645","CONTRA COSTA","Dec",2007,9233
"646","DEL NORTE","Dec",2007,352
"647","EL DORADO","Dec",2007,2202
"648","FRESNO","Dec",2007,19958
"649","GLENN","Dec",2007,561
"650","HUMBOLDT","Dec",2007,1666
"651","IMPERIAL","Dec",2007,6565
"652","INYO","Dec",2007,218
"653","KERN","Dec",2007,15748
"654","KINGS","Dec",2007,2805
"655","LAKE","Dec",2007,1114
"656","LASSEN","Dec",2007,470
"657","LOS ANGELES","Dec",2007,83623
"658","MADERA","Dec",2007,2575
"659","MARIN","Dec",2007,1436
"660","MARIPOSA","Dec",2007,287
"661","MENDOCINO","Dec",2007,1304
"662","MERCED","Dec",2007,6268
"663","MODOC","Dec",2007,162
"664","MONO","Dec",2007,235
"665","MONTEREY","Dec",2007,12445
"666","NAPA","Dec",2007,1479
"667","NEVADA","Dec",2007,1095
"668","ORANGE","Dec",2007,23971
"669","PLACER","Dec",2007,3753
"670","PLUMAS","Dec",2007,551
"671","RIVERSIDE","Dec",2007,25566
"672","SACRAMENTO","Dec",2007,16951
"673","SAN BENITO","Dec",2007,1081
"674","SAN BERNARDINO","Dec",2007,21086
"675","SAN DIEGO","Dec",2007,28487
"676","SAN FRANCISCO","Dec",2007,7041
"677","SAN JOAQUIN","Dec",2007,13021
"678","SAN LUIS OBISPO","Dec",2007,2060
"679","SAN MATEO","Dec",2007,4140
"680","SANTA BARBARA","Dec",2007,4048
"681","SANTA CLARA","Dec",2007,14994
"682","SANTA CRUZ","Dec",2007,5664
"683","SHASTA","Dec",2007,3601
"684","SIERRA","Dec",2007,94
"685","SISKIYOU","Dec",2007,952
"686","SOLANO","Dec",2007,5105
"687","SONOMA","Dec",2007,4577
"688","STANISLAUS","Dec",2007,10894
"689","SUTTER","Dec",2007,2552
"690","TEHAMA","Dec",2007,904
"691","TRINITY","Dec",2007,286
"692","TULARE","Dec",2007,10626
"693","TUOLUMNE","Dec",2007,721
"694","VENTURA","Dec",2007,9999
"695","YOLO","Dec",2007,2982
"696","YUBA","Dec",2007,1421
"697","ALAMEDA","Jan",2008,14638
"698","ALPINE","Jan",2008,13
"699","AMADOR","Jan",2008,614
"700","BUTTE","Jan",2008,4083
"701","CALAVERAS","Jan",2008,860
"702","COLUSA","Jan",2008,1279
"703","CONTRA COSTA","Jan",2008,10488
"704","DEL NORTE","Jan",2008,443
"705","EL DORADO","Jan",2008,2701
"706","FRESNO","Jan",2008,22570
"707","GLENN","Jan",2008,774
"708","HUMBOLDT","Jan",2008,2117
"709","IMPERIAL","Jan",2008,5600
"710","INYO","Jan",2008,265
"711","KERN","Jan",2008,16459
"712","KINGS","Jan",2008,3397
"713","LAKE","Jan",2008,1324
"714","LASSEN","Jan",2008,696
